,Title,Type,Assignee,reporter,Description,created,updated,status,Priority,Resolved,link,comments
10,camel-jbang - camel catalog other does not list kotlin-dsl,Improvement,Claus Ibsen,Claus Ibsen,,13/Dec/23 13:09,13/Dec/23 13:28,Resolved,Minor,13/Dec/23 13:28,https://issues.apache.org/jira/browse/CAMEL-20233,
11,RouteIdFactory - That can assign route ids using derived values from uris,New Feature,Claus Ibsen,Claus Ibsen,"

When using routes that uses direct/seda etc as route inputs, then you may want to use their name as the route id, eg
direct:foo   -> foo
seda:bar    -> bar
jms:orders -> orders
Instead of having route1, route2 as auto assigned names. 
There could be a NodeIdFactory that assign such names for route's. For example it can use the context-path of the route url as the name.

",27/Sep/16 06:57,01/Dec/16 11:48,Resolved,Minor,01/Dec/16 11:48,https://issues.apache.org/jira/browse/CAMEL-10344,"      ASF GitHub Bot added a comment  - 01/Nov/16 19:02   GitHub user tkopczynski opened a pull request: https://github.com/apache/camel/pull/1242 CAMEL-10344: RouteIdFactory - assigning route ids based on uris    This PR adds RouteIdFactory which can be used as a NodeIdFactory implementation in CamelContext as a different strategy for assigning route ids.    Currently, it works with direct and similar routes.    Unfortunately, I'm not sure on how to integrate this with assigning ids in rest routes. It feels like this should be somewhere in `RestDefinition.addRouteDefinition` but route id is assigned so early that RouteDefinition doesn't have enough information for creating the id from the path.    @davsclaus do you have any ideas/suggestions on this?You can merge this pull request into a Git repository by running:    $ git pull https://github.com/tkopczynski/camel camel-10344Alternatively you can review and apply these changes as the patch at: https://github.com/apache/camel/pull/1242.patchTo close this pull request, make a commit to your master/trunk branchwith (at least) the following in the commit message:    This closes #1242commit f0bc524b7546b398a4a4f804c63a7e0807d1b58aAuthor: Tomasz Kopczynski <tomek@kopczynski.net.pl>Date:   2016-11-01T18:49:06Z CAMEL-10344: RouteIdFactory - assigning route ids based on uris          ASF GitHub Bot added a comment  - 01/Nov/16 19:02                    GitHub user tkopczynski opened a pull request:       https://github.com/apache/camel/pull/1242         CAMEL-10344  : RouteIdFactory - assigning route ids based on uris      This PR adds RouteIdFactory which can be used as a NodeIdFactory implementation in CamelContext as a different strategy for assigning route ids.      Currently, it works with direct and similar routes.      Unfortunately, I'm not sure on how to integrate this with assigning ids in rest routes. It feels like this should be somewhere in `RestDefinition.addRouteDefinition` but route id is assigned so early that RouteDefinition doesn't have enough information for creating the id from the path.      @davsclaus do you have any ideas/suggestions on this?  You can merge this pull request into a Git repository by running:      $ git pull  https://github.com/tkopczynski/camel  camel-10344  Alternatively you can review and apply these changes as the patch at:       https://github.com/apache/camel/pull/1242.patch   To close this pull request, make a commit to your master/trunk branch with (at least) the following in the commit message:      This closes #1242   commit f0bc524b7546b398a4a4f804c63a7e0807d1b58a Author: Tomasz Kopczynski <tomek@kopczynski.net.pl> Date:   2016-11-01T18:49:06Z        CAMEL-10344  : RouteIdFactory - assigning route ids based on uris                 $_$      ASF GitHub Bot added a comment  - 08/Nov/16 09:33   Github user asfgit closed the pull request at: https://github.com/apache/camel/pull/1242          ASF GitHub Bot added a comment  - 08/Nov/16 09:33                    Github user asfgit closed the pull request at:       https://github.com/apache/camel/pull/1242                 $_$      Claus Ibsen added a comment  - 08/Nov/16 09:51   For the rest routes we may want to replace / with - in the name, so it preserves the full path and the verb.rest fooget postthen its 2 routes with idget-foopost-fooAlso if there is nested paths we preserve the full namerest fooget bar post barthen itsget-foo-barpost-foo-barAnd we would need some unit tests for rest-dsl routes.          Claus Ibsen added a comment  - 08/Nov/16 09:51                    For the rest routes we may want to replace / with - in the name, so it preserves the full path and the verb.  rest foo get  post  then its 2 routes with id  get-foo post-foo Also if there is nested paths we preserve the full name  rest foo get bar  post bar  then its  get-foo-bar post-foo-bar And we would need some unit tests for rest-dsl routes.                $_$      Claus Ibsen added a comment  - 08/Nov/16 09:51   We also would need an unit test where some of the routes have explicit assigned id with .routeId(""myRoute""), which this factory should not override.          Claus Ibsen added a comment  - 08/Nov/16 09:51                    We also would need an unit test where some of the routes have explicit assigned id with .routeId(""myRoute""), which this factory should not override.                $_$      ASF GitHub Bot added a comment  - 30/Nov/16 22:06   GitHub user tkopczynski opened a pull request: https://github.com/apache/camel/pull/1324 CAMEL-10344: RouteIdFactory for rest routes    This PR extends the functionality introduced in #1242 by better handling rest routes. The implementation was written following the suggestions made in #1242 by @davsclaus You can merge this pull request into a Git repository by running:    $ git pull https://github.com/tkopczynski/camel camel-10344-followupAlternatively you can review and apply these changes as the patch at: https://github.com/apache/camel/pull/1324.patchTo close this pull request, make a commit to your master/trunk branchwith (at least) the following in the commit message:    This closes #1324commit 48c82ab710acce590038519fa12b2b810986b001Author: Tomasz Kopczynski <tomek@kopczynski.net.pl>Date:   2016-11-27T19:05:49Z CAMEL-10344: RouteIdFactory for rest routes          ASF GitHub Bot added a comment  - 30/Nov/16 22:06                    GitHub user tkopczynski opened a pull request:       https://github.com/apache/camel/pull/1324         CAMEL-10344  : RouteIdFactory for rest routes      This PR extends the functionality introduced in #1242 by better handling rest routes. The implementation was written following the suggestions made in #1242 by @davsclaus   You can merge this pull request into a Git repository by running:      $ git pull  https://github.com/tkopczynski/camel  camel-10344-followup  Alternatively you can review and apply these changes as the patch at:       https://github.com/apache/camel/pull/1324.patch   To close this pull request, make a commit to your master/trunk branch with (at least) the following in the commit message:      This closes #1324   commit 48c82ab710acce590038519fa12b2b810986b001 Author: Tomasz Kopczynski <tomek@kopczynski.net.pl> Date:   2016-11-27T19:05:49Z        CAMEL-10344  : RouteIdFactory for rest routes                 $_$      ASF GitHub Bot added a comment  - 01/Dec/16 11:43   Github user tkopczynski closed the pull request at: https://github.com/apache/camel/pull/1324          ASF GitHub Bot added a comment  - 01/Dec/16 11:43                    Github user tkopczynski closed the pull request at:       https://github.com/apache/camel/pull/1324                 $_$      Claus Ibsen added a comment  - 01/Dec/16 11:48   Thanks for the PRs          Claus Ibsen added a comment  - 01/Dec/16 11:48                    Thanks for the PRs                "
12,Support univocity BeanListProcessor,New Feature,Unassigned,abccbaandy,"

I want use BeanListProcessor feature to map vo field with csv header name
https://github.com/uniVocity/univocity-parsers#using-annotations-to-map-your-java-beans
But I can't find any relate option to use this feature, maybe it's not support in camel univocity?
https://github.com/apache/camel/blob/master/components/camel-univocity-parsers/src/main/docs/univocity-csv-dataformat.adoc
btw, I can't find 


camel-univocity-parsers


 in Components selection 

",28/Mar/18 08:07,02/Sep/22 11:07,Resolved,Minor,02/Sep/22 11:07,https://issues.apache.org/jira/browse/CAMEL-12411,
13,"Support ""oneOf"" requirements of attributes inside the Catalog",Improvement,Unassigned,Aurélien Pupier,"

There are some components that allow to configure an option on either component or endpoint that would be required.
For instance the ""operation"" parameter for aws2-iam

",14/Dec/20 09:33,24/Jul/23 17:45,Resolved,Minor,24/Jul/23 17:45,https://issues.apache.org/jira/browse/CAMEL-15943,"      Luca Burgazzoli added a comment  - 14/Dec/20 09:44   We may think to use json schema to describe components, similar to what we did for the YAML DSL in camel-k however I'm curious to know how tools should validate ""oneOf"" as the parameter can be set in completely unrelated file, using an environment variable or with a custom component set-up.          Luca Burgazzoli added a comment  - 14/Dec/20 09:44                    We may think to use json schema to describe components, similar to what we did for the YAML DSL in camel-k however I'm curious to know how tools should validate ""oneOf"" as the parameter can be set in completely unrelated file, using an environment variable or with a custom component set-up.                $_$      Auru00E9lien Pupier added a comment  - 14/Dec/20 09:51   From tooling point of view, we can consider adding a boolean flag that indicates when this is the case - but what should the name be?using just a boolean won't allow to know with which other properties it is linked to.I do not think that it will provide more information than setting the attribute required to false and just mentioning in documentation that ""one of"" attributes must be set.With yaml spec, it is expressed by a ""required -> ""oneOf"" attribute at a higher level listing the required properties https://json-schema.org/understanding-json-schema/reference/combining.html#oneof          Auru00E9lien Pupier added a comment  - 14/Dec/20 09:51                     From tooling point of view, we can consider adding a boolean flag that indicates when this is the case - but what should the name be?   using just a boolean won't allow to know with which other properties it is linked to.I do not think that it will provide more information than setting the attribute required to false and just mentioning in documentation that ""one of"" attributes must be set.  With yaml spec, it is expressed by a ""required -> ""oneOf"" attribute at a higher level listing the required properties  https://json-schema.org/understanding-json-schema/reference/combining.html#oneof                 $_$      Luca Burgazzoli added a comment  - 14/Dec/20 09:59   My question was more about validation, so you don't expect to have the IDE to validate the URI then, right ?          Luca Burgazzoli added a comment  - 14/Dec/20 09:59                    My question was more about validation, so you don't expect to have the IDE to validate the URI then, right ?                $_$      Auru00E9lien Pupier added a comment  - 14/Dec/20 10:00   I'm curious to know how tools should validate ""oneOf"" as the parameter can be set in completely unrelated file, using an environment variable or with a custom component set-up.there is the same problem for normal ""required"" properties. It is not specific to this case. Currently, tooling is assuming that everything is declared in the same file. There was no issues/enhancements reported for several years (it is also part of Eclipse Fuse Tooling validation).Maybe the use case will occur more often with Camel K/Camel Kafka connector? it would mean that we cannot validate anymore requirements of properties.          Auru00E9lien Pupier added a comment  - 14/Dec/20 10:00                     I'm curious to know how tools should validate ""oneOf"" as the parameter can be set in completely unrelated file, using an environment variable or with a custom component set-up.   there is the same problem for normal ""required"" properties. It is not specific to this case. Currently, tooling is assuming that everything is declared in the same file. There was no issues/enhancements reported for several years (it is also part of Eclipse Fuse Tooling validation).  Maybe the use case will occur more often with Camel K/Camel Kafka connector? it would mean that we cannot validate anymore requirements of properties.                $_$      Auru00E9lien Pupier added a comment  - 14/Dec/20 10:02   My question was more about validation, so you don't expect to have the IDE to validate the URI then, right ?My goal of having a way to specify that ""one of attributes is required"" in the catalog is to provide validation at design time, so in the IDE.          Auru00E9lien Pupier added a comment  - 14/Dec/20 10:02                     My question was more about validation, so you don't expect to have the IDE to validate the URI then, right ?   My goal of having a way to specify that ""one of attributes is required"" in the catalog is to provide validation at design time, so in the IDE.                $_$      Luca Burgazzoli added a comment  - 14/Dec/20 10:12   Maybe it would be better to flatten the properties and have an option to determine where they applies so if they are marked as mandatory, it is explicit that setting at component or endpoint level is equivalent (otherwhise you need to apply the oneOf to both the definitions) but still, I'm curious how the validation can be performed ad design time  given that the property may exists only at runtime          Luca Burgazzoli added a comment  - 14/Dec/20 10:12                    Maybe it would be better to flatten the properties and have an option to determine where they applies so if they are marked as mandatory, it is explicit that setting at component or endpoint level is equivalent (otherwhise you need to apply the oneOf to both the definitions) but still, I'm curious how the validation can be performed ad design time   given that the property may exists only at runtime                $_$      Luca Burgazzoli added a comment  - 14/Dec/20 10:14   > Maybe the use case will occur more often with Camel K/Camel Kafka connector? it would mean that we cannot validate anymore requirements of properties.I don't think so, on spring-boot configuring component using properties is quite a common           Luca Burgazzoli added a comment  - 14/Dec/20 10:14                    > Maybe the use case will occur more often with Camel K/Camel Kafka connector? it would mean that we cannot validate anymore requirements of properties.  I don't think so, on spring-boot configuring component using properties is quite a common                 $_$      Auru00E9lien Pupier added a comment  - 14/Dec/20 10:32   - edited   flatten the properties and have an option to determine where they applies so if they are marked as mandatory, it is explicit that setting at component or endpoint level is equivalentthis requires that it is a property with the same name.it doesn't cover the case for instance of having ""homeAddress"" and ""officeAddress"" and requires to have one of the 2.But I don't know if it happens currently or if we want to have it happening. If it doesn't, it sounds simpler.The downside of this approach is that I think it will require to radically change the catalog and it will break the backward-compatibility.I'm curious how the validation can be performed ad design time  given that the property may exists only at runtimeThe validation currently expects all required properties to be defined at design time. It is not specific to ""oneOf"".This is an assumption that was good enough for several years but it is possible that it is no more reliable enough and deactivate this kind of validation in Camel catalog and Eclipse Fuse Tooling (and not implement it for Camel Kafka Connector in Camel Language Server)          Auru00E9lien Pupier added a comment  - 14/Dec/20 10:32   - edited                    flatten the properties and have an option to determine where they applies so if they are marked as mandatory, it is explicit that setting at component or endpoint level is equivalent   this requires that it is a property with the same name. it doesn't cover the case for instance of having ""homeAddress"" and ""officeAddress"" and requires to have one of the 2.  But I don't know if it happens currently or if we want to have it happening. If it doesn't, it sounds simpler.  The downside of this approach is that I think it will require to radically change the catalog and it will break the backward-compatibility.   I'm curious how the validation can be performed ad design time  given that the property may exists only at runtime   The validation currently expects all required properties to be defined at design time. It is not specific to ""oneOf"". This is an assumption that was good enough for several years but it is possible that it is no more reliable enough and deactivate this kind of validation in Camel catalog and Eclipse Fuse Tooling (and not implement it for Camel Kafka Connector in Camel Language Server)                $_$      Auru00E9lien Pupier added a comment  - 14/Dec/20 10:57   > > From tooling point of view, we can consider adding a boolean flag that indicates when this is the case - but what should the name be?> > using just a boolean won't allow to know with which other properties it is linked to.I do not think that it will provide more information than setting the attribute required to false and just mentioning in documentation that ""one of"" attributes must be set.> > flatten the properties and have an option to determine where they applies so if they are marked as mandatory, it is explicit that setting at component or endpoint level is equivalent> this requires that it is a property with the same name.> it doesn't cover the case for instance of having ""homeAddress"" and ""officeAddress"" and requires to have one of the 2.> But I don't know if it happens currently or if we want to have it happening. If it doesn't, it sounds simpler.if we want to handle only the case of same name but putt at different levels, the boolean might be enough. Something like canBeSetAtAnotherLevel (what a long and not nice naming...)          Auru00E9lien Pupier added a comment  - 14/Dec/20 10:57                    > > From tooling point of view, we can consider adding a boolean flag that indicates when this is the case - but what should the name be? >  > using just a boolean won't allow to know with which other properties it is linked to.I do not think that it will provide more information than setting the attribute required to false and just mentioning in documentation that ""one of"" attributes must be set.  > > flatten the properties and have an option to determine where they applies so if they are marked as mandatory, it is explicit that setting at component or endpoint level is equivalent  > this requires that it is a property with the same name. > it doesn't cover the case for instance of having ""homeAddress"" and ""officeAddress"" and requires to have one of the 2.  > But I don't know if it happens currently or if we want to have it happening. If it doesn't, it sounds simpler.  if we want to handle only the case of same name but putt at different levels, the boolean might be enough. Something like  canBeSetAtAnotherLevel  (what a long and not nice naming...)                "
14,Transactional hazelcast:seda component uses not transaction aware queue,Improvement,Claus Ibsen,Kirill Merkushev,"

As mentioned in docs 
http://docs.hazelcast.org/docs/3.8.4/manual/html-single/index.html#creating-a-transaction-interface
Data structures should be transaction-aware and initialized inside of transaction context. Now hazelcast seda component uses queue initialized externally for the transaction. So when we rollback transaction - things stay the same like we already committed changes (this simply noop).
Patch should look like (but exactly this version fails tests, so I should investigate more)

index 7e3b24cc8f..cebd69ce16 100644
--- a/components/camel-hazelcast/src/main/java/org/apache/camel/component/hazelcast/seda/HazelcastSedaConsumer.java
+++ b/components/camel-hazelcast/src/main/java/org/apache/camel/component/hazelcast/seda/HazelcastSedaConsumer.java
@@ -16,10 +16,10 @@
  */
 package org.apache.camel.component.hazelcast.seda;
 
-import java.util.concurrent.BlockingQueue;
 import java.util.concurrent.ExecutorService;
 import java.util.concurrent.TimeUnit;
 
+import com.hazelcast.core.BaseQueue;
 import com.hazelcast.transaction.TransactionContext;
 
 import org.apache.camel.AsyncCallback;
@@ -71,7 +71,7 @@ public class HazelcastSedaConsumer extends DefaultConsumer implements Runnable {
     }
 
     public void run() {
-        final BlockingQueue<?> queue = endpoint.getQueue();
+        BaseQueue<?> queue = endpoint.getHazelcastInstance().getQueue(endpoint.getConfiguration().getQueueName());
 
         while (queue != null && isRunAllowed()) {
             final Exchange exchange = this.getEndpoint().createExchange();
@@ -85,6 +85,7 @@ public class HazelcastSedaConsumer extends DefaultConsumer implements Runnable {
                     if (transactionCtx != null) {
                         log.trace(""Begin transaction: {}"", transactionCtx.getTxnId());
                         transactionCtx.beginTransaction();
+                        queue = transactionCtx.getQueue(endpoint.getConfiguration().getQueueName());
                     }
                 }
 



",15/Sep/17 15:33,19/Sep/17 11:06,Resolved,Major,19/Sep/17 07:36,https://issues.apache.org/jira/browse/CAMEL-11777,"      ASF GitHub Bot added a comment  - 18/Sep/17 09:15   GitHub user lanwen opened a pull request: https://github.com/apache/camel/pull/1936 CAMEL-11777: Use transaction aware queue in hazelcast:seda component    As mentioned in docs of hz (any version, current for example) http://docs.hazelcast.org/docs/3.8.4/manual/html-single/index.html#creating-a-transaction-interface    Transaction do its work if queue initialized with help of transaction ctxYou can merge this pull request into a Git repository by running:    $ git pull https://github.com/lanwen/camel CAMEL-11777Alternatively you can review and apply these changes as the patch at: https://github.com/apache/camel/pull/1936.patchTo close this pull request, make a commit to your master/trunk branchwith (at least) the following in the commit message:    This closes #1936commit c679eaf67acb129137b04b8199c4ddbafa5b28b5Author: Kirill Merkushev <lanwen@yandex.ru>Date:   2017-09-18T09:13:49Z CAMEL-11777: Use transaction aware queue in hazelcast:seda component    As mentioned in docs of hz (any version, current for example) http://docs.hazelcast.org/docs/3.8.4/manual/html-single/index.html#creating-a-transaction-interface    Transaction do its work if queue initialized with help of transaction ctx          ASF GitHub Bot added a comment  - 18/Sep/17 09:15                    GitHub user lanwen opened a pull request:       https://github.com/apache/camel/pull/1936         CAMEL-11777  : Use transaction aware queue in hazelcast:seda component      As mentioned in docs of hz (any version, current for example)      http://docs.hazelcast.org/docs/3.8.4/manual/html-single/index.html#creating-a-transaction-interface      Transaction do its work if queue initialized with help of transaction ctx  You can merge this pull request into a Git repository by running:      $ git pull  https://github.com/lanwen/camel    CAMEL-11777    Alternatively you can review and apply these changes as the patch at:       https://github.com/apache/camel/pull/1936.patch   To close this pull request, make a commit to your master/trunk branch with (at least) the following in the commit message:      This closes #1936   commit c679eaf67acb129137b04b8199c4ddbafa5b28b5 Author: Kirill Merkushev <lanwen@yandex.ru> Date:   2017-09-18T09:13:49Z        CAMEL-11777  : Use transaction aware queue in hazelcast:seda component      As mentioned in docs of hz (any version, current for example)      http://docs.hazelcast.org/docs/3.8.4/manual/html-single/index.html#creating-a-transaction-interface      Transaction do its work if queue initialized with help of transaction ctx                 $_$      Claus Ibsen added a comment  - 19/Sep/17 07:36   Thanks for the PR          Claus Ibsen added a comment  - 19/Sep/17 07:36                    Thanks for the PR                $_$      ASF GitHub Bot added a comment  - 19/Sep/17 11:06   Github user lanwen closed the pull request at: https://github.com/apache/camel/pull/1936          ASF GitHub Bot added a comment  - 19/Sep/17 11:06                    Github user lanwen closed the pull request at:       https://github.com/apache/camel/pull/1936                 "
15,RedeliveryErrorHandler's suppressed exceptions cause memory leak and logging issue,Bug,Claus Ibsen,Bence,"

Hi There,
I am a bit dubious about the behavior of RedeliveryErrorHandler's handleException() method in camel-core-processor bundle.
Chaining all exceptions in suppressedExceptions of Throwable during the redelivery process may not be the original intention, at least the comment below is suggesting that the goal was something else here.

if (previous != null && previous != e) {
// a 2nd exception was thrown while handling a previous exception
// so we need to add the previous as suppressed by the new exception
// see also FatalFallbackErrorHandler
The consequence of adding the previous exception to the suppressedExceptions list of the current one is building up an infinite chain of objects, besides a single log entry can be huge after a couple of retry attempts, see attached log.
I think the best would be to turn this feature on/off by a configuration parameter.
Thank you.

",18/May/23 13:24,19/May/23 16:35,Resolved,Minor,19/May/23 16:35,https://issues.apache.org/jira/browse/CAMEL-19371,"      Claus Ibsen added a comment  - 18/May/23 20:03   Yeah that is a good point about we should likely just keep the last error so the depth does not grow soo big          Claus Ibsen added a comment  - 18/May/23 20:03                    Yeah that is a good point about we should likely just keep the last error so the depth does not grow soo big                $_$      Claus Ibsen added a comment  - 18/May/23 20:04   its not a memory leak as the memory can be reclaimed, its just a long stacktrace if retry is many times. And you should not have forever retries then you have another problem on your hand          Claus Ibsen added a comment  - 18/May/23 20:04                    its not a memory leak as the memory can be reclaimed, its just a long stacktrace if retry is many times. And you should not have forever retries then you have another problem on your hand                $_$      Bence added a comment  - 19/May/23 07:47   I am afraid it is, since all exceptions thrown during the redelivery mechanism chained together and attached to the exchange via CamelExceptionCaught property (previous exception:Throwable previous = exchange.getProperty(ExchangePropertyKey.EXCEPTION_CAUGHT, Throwable.class);On the other hand redeliveryPolicy maximumRedeliveries -1 is a valid option, this way the suppressedExceptions chain can definitely cause a memory leak.           Bence added a comment  - 19/May/23 07:47                    I am afraid it is, since all exceptions thrown during the redelivery mechanism chained together and attached to the exchange via CamelExceptionCaught property (previous exception:    Throwable previous  =  exchange .getProperty( ExchangePropertyKey . EXCEPTION_CAUGHT ,  Throwable . class );   On the other hand redeliveryPolicy maximumRedeliveries -1 is a valid option, this way the suppressedExceptions chain can definitely cause a memory leak.                   $_$      Claus Ibsen added a comment  - 19/May/23 08:17   a leak is memory that cannot be reclaimedwhat you describe is memory usage can become high if you have forever error handling, and using -1 is a bad practice          Claus Ibsen added a comment  - 19/May/23 08:17                    a leak is memory that cannot be reclaimed what you describe is memory usage can become high if you have forever error handling, and using -1 is a bad practice                $_$      Claus Ibsen added a comment  - 19/May/23 13:16   Okay have a pending fix, as this manifest in camel-jms and only when doing error handling that causes a 2nd error.However we may consider removing adding suppressed, but then end users may not see this from a result exception as they can only see the last, and not the original.          Claus Ibsen added a comment  - 19/May/23 13:16                    Okay have a pending fix, as this manifest in camel-jms and only when doing error handling that causes a 2nd error.  However we may consider removing adding suppressed, but then end users may not see this from a result exception as they can only see the last, and not the original.                "
16,Lucene upgrade violates elasticsearch assertion,Bug,Unassigned,Thomas Diesler,"

Elastic search asserts the current Lucene version like this

    public static final Version V_2_3_1 = new Version(V_2_3_1_ID, false, org.apache.lucene.util.Version.LUCENE_5_5_0);

    public static final Version CURRENT = V_2_3_1;

    static {
        assert CURRENT.luceneVersion.equals(Lucene.VERSION) : ""Version must be upgraded to ["" + Lucene.VERSION + ""] is still set to ["" + CURRENT.luceneVersion + ""]"";
    }


which effectively means that no other Lucene version is accepted but 5.5.0
Camel now integrates lucene-5.5.3 as part of this commit, which then leads to

11:54:49,545 SEVERE [org.jboss.arquillian.protocol.jmx.JMXTestRunner] (pool-3-thread-1) Failed: org.wildfly.camel.test.elasticsearch.ElasticSearchIntegrationTest.testIndexContentUsingHeaders: java.lang.AssertionError: Version must be upgraded to [5.5.3] is still set to [5.5.0]
	at org.elasticsearch.Version.<clinit>(Version.java:302)
	at org.elasticsearch.node.Node.<init>(Node.java:140)
	at org.elasticsearch.node.NodeBuilder.build(NodeBuilder.java:143)
	at org.elasticsearch.node.NodeBuilder.node(NodeBuilder.java:150)
	at org.wildfly.camel.test.elasticsearch.ElasticSearchIntegrationTest.initEleasticSearchClient(ElasticSearchIntegrationTest.java:220)
	at org.wildfly.camel.test.elasticsearch.ElasticSearchIntegrationTest.testIndexContentUsingHeaders(ElasticSearchIntegrationTest.java:80)
...
java.lang.NoClassDefFoundError: Could not initialize class org.elasticsearch.Version
	at org.elasticsearch.node.Node.<init>(Node.java:140)
	at org.elasticsearch.node.NodeBuilder.build(NodeBuilder.java:143)
	at org.elasticsearch.node.NodeBuilder.node(NodeBuilder.java:150)
	at org.wildfly.camel.test.elasticsearch.ElasticSearchIntegrationTest.initEleasticSearchClient(ElasticSearchIntegrationTest.java:220)
	at org.wildfly.camel.test.elasticsearch.ElasticSearchIntegrationTest.testGetContent(ElasticSearchIntegrationTest.java:112)


Camel can likely not use another version of Lucene than Elasticsearch defines. Alternatively it may be possible to install multiple versions of Lucene and wire Elasticsearch to the one it requires. 

",12/Sep/16 10:18,15/Sep/16 14:26,Resolved,Major,15/Sep/16 14:26,https://issues.apache.org/jira/browse/CAMEL-10310,
17,broken links at components page,Task,Claus Ibsen,Gardella Juan Pablo,"

At http://camel.apache.org/components.html, there are broken links

at Krati component. It refers to http://data.linkedin.com/opensource/krati and this URL show 404.
camel-msv


",04/Jul/14 13:52,04/Jul/14 14:15,Resolved,Trivial,04/Jul/14 14:08,https://issues.apache.org/jira/browse/CAMEL-7579,"      Gardella Juan Pablo added a comment  - 04/Jul/14 14:12   davsclaus They are still broken.           Gardella Juan Pablo added a comment  - 04/Jul/14 14:12                     davsclaus  They are still broken.                 $_$      Claus Ibsen added a comment  - 04/Jul/14 14:14   Fixed at wiki which takes some time to update to static site.          Claus Ibsen added a comment  - 04/Jul/14 14:14                    Fixed at wiki which takes some time to update to static site.                $_$      Gardella Juan Pablo added a comment  - 04/Jul/14 14:15   Oh, ok. I will check tomorrow. Thanks!          Gardella Juan Pablo added a comment  - 04/Jul/14 14:15                    Oh, ok. I will check tomorrow. Thanks!                "
18,Upgrade to JUnit 4.4 in camel-cxf,Improvement,Willem Jiang,Willem Jiang,"

Since there are some CXF endpoint start in camel-cxf endpoint per test, we can leverage the JUnit4's start with class annotation to start these endpoints within the Unit test. 

",05/Jun/09 03:34,21/Nov/09 11:59,Closed,Major,open,https://issues.apache.org/jira/browse/CAMEL-1673,      Willem Jiang added a comment  - 19/Jun/09 11:21   trunkhttp://svn.apache.org/viewvc?rev=784510&view=rev          Willem Jiang added a comment  - 19/Jun/09 11:21                    trunk   http://svn.apache.org/viewvc?rev=784510&view=rev                 $_$      Claus Ibsen added a comment  - 21/Nov/09 11:59   Closing all 2.0M3 tickets          Claus Ibsen added a comment  - 21/Nov/09 11:59                    Closing all 2.0M3 tickets                
19,Add ManagementObjectStrategy to SPI to allow customization of actual underlying mbeans registered by Camel,Improvement,Claus Ibsen,Claus Ibsen,"

When Camel registers MBeans in JMX it uses a lifecycle strategy for that, eg the lifecycle strategy is triggered when X is added/remove to Camel. The JMX supported lifecycle strategy is DefaultManagementLifecycleStrategy. That class has some private code that creates the actual MBeans being used when registering mbeans.
So far we have a pluggable SPI for defining ObjectName for the mbeans (ManagementNameStrategy), so you can control that if you want.
Likewise we should have a pluggable SPI for the logic that creates the mbean to be used. It should be named: ManagementObjectStrategy.
We should then move the private logic from DefaultManagementLifecycleStrategy to a default implementation of that new SPI. 
This makes it easier for end users and Camel itself to register new mbeans, and reusing as much default code from Camel out of the box.

",26/Jun/11 12:02,26/Jun/11 16:31,Resolved,Minor,26/Jun/11 16:31,https://issues.apache.org/jira/browse/CAMEL-4156,
20,Added  a check point after configuring the the consumer properties ,Improvement,Willem Jiang,Willem Jiang,"

To avoid the the consumer's parameters configuration spelling error.

",26/Aug/08 03:28,16/Feb/09 05:51,Closed,Major,open,https://issues.apache.org/jira/browse/CAMEL-848,      Claus Ibsen added a comment  - 16/Feb/09 05:51   Closing all 1.5.0 issues          Claus Ibsen added a comment  - 16/Feb/09 05:51                    Closing all 1.5.0 issues                
21,Camel JMX useJmx=false does not work,Bug,Hadrian Zbarcea,Claus Ibsen,,27/Jun/08 17:52,06/Jul/08 06:29,Closed,Major,open,https://issues.apache.org/jira/browse/CAMEL-643,      Claus Ibsen added a comment  - 27/Jun/08 17:53   See patch in CAMEL-637          Claus Ibsen added a comment  - 27/Jun/08 17:53                    See patch in   CAMEL-637                  
22,camel3 - Optimize XmlConverterLoader,Improvement,Claus Ibsen,Claus Ibsen,"

I wonder if we can optimize XmlConverterLoader this to init the getXmlConverter once only and avoid synchronized.
It does take a bit time to load according to the yourkit profiler

",13/Aug/19 12:01,14/Aug/19 07:53,Resolved,Major,14/Aug/19 07:53,https://issues.apache.org/jira/browse/CAMEL-13863,
